sub_begin_time|sub_end_time|text|class
00:06:29|00:06:33|pressure inside is very great at the|NA
00:06:31|00:06:35|Bulge you've got a loosely curved|NA
00:06:33|00:06:37|surface so the pressure is less that|NA
00:06:35|00:06:39|means that the neck will squeeze water|NA
00:06:37|00:06:42|into the Bulge and you will have this|NA
00:06:39|00:06:43|growing ripple except it's a little bit|NA
00:06:42|00:06:47|more complicated|NA
00:06:43|00:06:50|that because the curvature at the pinch|NA
00:06:47|00:06:52|points it's actually a saddle point and|NA
00:06:50|00:06:55|saddle points are a bit more complicated|NA
00:06:52|00:06:56|a good example of saddle point is a|NA
00:06:55|00:06:57|Pringle crisp so you've got a curve|NA
00:06:56|00:06:59|going this way|NA
00:06:57|00:07:01|and you've got a curve going that way|NA
00:06:59|00:07:03|like it like a saddle essentially but|NA
00:07:01|00:07:06|look imagine that this is a little|NA
00:07:03|00:07:09|section of our pinch point you've got|NA
00:07:06|00:07:10|the inside curve here that's generating|NA
00:07:09|00:07:12|pressure inside but then you've got this|NA
00:07:10|00:07:15|this is actually a negative curve it's|NA
00:07:12|00:07:18|going the other way so it's reducing the|NA
00:07:15|00:07:20|pressure inside the neck so it's|NA
00:07:18|00:07:23|actually not clear who's gonna win the|NA
00:07:20|00:07:25|fight is it the the Bulge that has like|NA
00:07:23|00:07:26|both curves of the curve in this|NA
00:07:25|00:07:27|direction the curve in this direction|NA
00:07:26|00:07:30|they're both adding to the pressure|NA
00:07:27|00:07:31|inside but look at this curve here this|NA
00:07:30|00:07:34|curve is going the other way it's a|NA
00:07:31|00:07:36|negative curvature and it actually|NA
00:07:34|00:07:39|reduces the pressure inside so there's a|NA
00:07:36|00:07:41|balance between those two effects and it|NA
00:07:39|00:07:45|turns out that who wins the fight|NA
00:07:41|00:07:48|depends on the wavelength of the ripples|NA
00:07:45|00:07:50|so with those short wavelength ripples|NA
00:07:48|00:07:52|that the Bulge is gonna win the fight|NA
00:07:50|00:07:56|and they're just going to disappear but|NA
00:07:52|00:07:59|with longer curvature ripples where the|NA
00:07:56|00:08:03|external curvature is lower then the the|NA
00:07:59|00:08:04|pressure inside the neck is going to win|NA
00:08:03|00:08:05|and the pinch point is going to get|NA
00:08:04|00:08:08|greater and greater|NA
00:08:05|00:08:10|it's those bulges that are going to grow|NA
00:08:08|00:08:15|it's that optimum wavelength that you're|NA
00:08:10|00:08:17|ultimately going to see so there's got|NA
00:08:15|00:08:19|to be a link between this Rayleigh|NA
00:08:17|00:08:21|plateau instability and the ripples that|NA
00:08:19|00:08:23|we're seeing when we all struct the|NA
00:08:21|00:08:25|stream of water my thinking is this when|NA
00:08:23|00:08:28|you put your finger into the stream|NA
00:08:25|00:08:31|you're forcing the water to bow out at|NA
00:08:28|00:08:33|that fixed point and it's a bit like a|NA
00:08:31|00:08:36|standing wave in wave mechanics so|NA
00:08:33|00:08:38|you've got a kind of boundary condition|NA
00:08:36|00:08:40|so in wave mechanics a boundary|NA
00:08:38|00:08:42|condition is when you fix a certain|NA
00:08:40|00:08:43|point like on a guitar string one end is|NA
00:08:42|00:08:45|fixed as you've got two boundary|NA
00:08:43|00:08:48|conditions both ends are fixed and that|NA
00:08:45|00:08:51|forces a standing wave in the vibrations|NA
00:08:48|00:08:54|of the guitar string and in a similar|NA
00:08:51|00:08:55|sense here you're saying look we're|NA
00:08:54|00:08:59|forcing an ant|NA
00:08:55|00:09:02|at this point and the rest of the wave|NA
00:08:59|00:09:04|is gonna grow upwards from that point|NA
00:09:02|00:09:05|like a standing wave on a guitar string|NA
00:09:04|00:09:07|that's my theory anyway|NA
00:09:05|00:09:09|I love investigating these sorts of|NA
00:09:07|00:09:11|things just for their own sake really|NA
00:09:09|00:09:13|like I'm sure nothing useful will ever|NA
00:09:11|00:09:15|come of it but I actually think|NA
00:09:13|00:09:17|curiosity for curiosity's sake is|NA
00:09:15|00:09:18|important because some of these|NA
00:09:17|00:09:20|investigations do turn out to be|NA
00:09:18|00:09:24|important like the Raley Plateau|NA
00:09:20|00:09:26|instability is really useful for making|NA
00:09:24|00:09:28|printers work like inkjet printers and|NA
00:09:26|00:09:32|all sorts of other applications actually|NA
00:09:28|00:09:34|bizarrely even black holes like some|NA
00:09:32|00:09:37|physicists are investigating what black|NA
00:09:34|00:09:39|holes look like in the extra dimensions|NA
00:09:37|00:09:42|of string theory and they're modeling it|NA
00:09:39|00:09:44|as what they call black strings and it|NA
00:09:42|00:09:46|seems like these black strings are|NA
00:09:44|00:09:49|unstable in a similar way to streams of|NA
00:09:46|00:09:52|water and they're gonna break up into|NA
00:09:49|00:09:54|like black hole droplets like the|NA
00:09:52|00:09:55|Rayleigh plateau droplets really|NA
00:09:54|00:09:58|interesting stuff this video is|NA
00:09:55|00:10:00|sponsored by Squarespace as you know I'm|NA
00:09:58|00:10:03|working with my dad on a project to|NA
00:10:00|00:10:05|publish his articles online he writes|NA
00:10:03|00:10:07|these really interesting articles about|NA
00:10:05|00:10:08|science and the nature of knowledge and|NA
00:10:07|00:10:10|things like that I really want people to|NA
00:10:08|00:10:12|be able to read them so we're putting|NA
00:10:10|00:10:15|them online and we're using Squarespace|NA
00:10:12|00:10:16|to do it I met with my dad last week and|NA
00:10:15|00:10:18|I showed him the interface|NA
00:10:16|00:10:19|I showed him what the website is going|NA
00:10:18|00:10:21|to look like he's really happy with it|NA
00:10:19|00:10:23|because it looks great I mean you know|NA
00:10:21|00:10:25|the templates look really good and you|NA
00:10:23|00:10:27|can personalize them and stuff like that|NA
00:10:25|00:10:29|and he picked up the interface straight|NA
00:10:27|00:10:31|away because it's really easy to use|NA
00:10:29|00:10:32|other things you should know about|NA
00:10:31|00:10:34|Squarespace|NA
00:10:32|00:10:37|there's never anything to upgrade or|NA
00:10:34|00:10:38|patch or install or anything like that|NA
00:10:37|00:10:41|it's just it's a complete system and it|NA
00:10:38|00:10:43|just works it's an e-commerce platform|NA
00:10:41|00:10:45|you can sell stuff if that's what you're|NA
00:10:43|00:10:47|thinking of doing you can get your|NA
00:10:45|00:10:49|domain name through Squarespace as well|NA
00:10:47|00:10:50|and importantly if you do that you own|NA
00:10:49|00:10:53|the domain name so it's not like a lock|NA
00:10:50|00:10:56|in or anything like that so we'll be|NA
00:10:53|00:10:57|doing that when the time comes it's it's|NA
00:10:56|00:10:59|going to be a couple of weeks because|NA
00:10:57|00:11:02|we're going to sort of pump all the text|NA
00:10:59|00:11:05|into into the articles and the images as|NA
00:11:02|00:11:06|well my dad wants to tweak the images a|NA
00:11:05|00:11:08|little bit and make them really nice|NA
00:11:06|00:11:11|because the|NA
00:11:08|00:11:13|just Word documents they knocked up and|NA
00:11:11|00:11:15|then we'll go live it's exciting|NA
00:11:13|00:11:17|anyway you should go to squarespace.com|NA
00:11:15|00:11:19|today for your free trial and then when|NA
00:11:17|00:11:22|you're ready to launch your project go|NA
00:11:19|00:11:24|to Squarespace comm /d mold to get 10%|NA
00:11:22|00:11:26|off your first purchase I hope you|NA
00:11:24|00:11:28|enjoyed this video if you did don't|NA
00:11:26|00:11:28|forget to hit subscribe and I'll see you|NA
00:11:28|00:11:49|next time|NA
00:11:28|00:11:49|[Music] </st>|NA
